    23.50  38.85    0    4  0.00000E+00  0.44362E+07 5252
    20.60  38.55    0    3  0.00000E+00  0.54119E+07 5253
    22.10  36.95    0    3  0.00000E+00  0.52832E+07 5255
    25.80  35.25    0    3  0.00000E+00  0.41708E+07 5257
    25.50  36.35    0    1  0.00000E+00  0.69248E+07 5258
    22.60  40.05    0    5  0.00000E+00  0.48192E+07 5259
    27.00  36.85    0    3  0.00000E+00  0.53258E+07 5260
    23.30  39.35    1    7  0.68320E+07  0.48800E+07 5261
    23.50  39.15    2   13  0.61250E+07  0.47115E+07 5264
    24.40  40.85    1    9  0.80500E+07  0.45840E+07 5265
    23.50  37.85    0    1  0.00000E+00  0.50954E+07 5266
    27.20  36.95    0    3  0.00000E+00  0.46667E+07 5267
    23.90  39.15    1    7  0.67900E+07  0.48500E+07 5269
    27.00  36.75    0    3  0.00000E+00  0.40833E+07 5271
    20.50  38.35    0    3  0.00000E+00  0.40950E+07 5273
    22.90  39.15    0    2  0.00000E+00  0.53882E+07 5274
    24.00  40.05    0    3  0.00000E+00  0.54092E+07 5277
    21.40  38.25   11   72  0.61648E+07  0.47092E+07 5278
    23.80  37.75    0    4  0.00000E+00  0.47250E+07 5280
    26.90  37.15    1    9  0.77595E+07  0.45865E+07 5281
    25.00  37.35    2   11  0.52378E+07  0.47616E+07 5284
    25.00  37.85    0    2  0.00000E+00  0.45500E+07 5285
    23.00  38.95    2   12  0.57085E+07  0.47571E+07 5287
    21.70  36.75    0    2  0.00000E+00  0.56718E+07 5288
    24.60  38.75    0    3  0.00000E+00  0.50400E+07 5289
    24.60  37.15    0    3  0.00000E+00  0.39988E+07 5292
    23.60  37.75    0    3  0.00000E+00  0.46317E+07 5293
    20.00  39.55   13   89  0.64615E+07  0.47340E+07 5296
    23.00  37.85    0    3  0.00000E+00  0.53317E+07 5297
    23.40  37.55    0    1  0.00000E+00  0.47950E+07 5298
    21.30  38.05    0    1  0.00000E+00  0.67216E+07 5299
    23.80  37.75    0    3  0.00000E+00  0.47483E+07 5301
    23.50  40.05    0    2  0.00000E+00  0.45238E+07 5302
    26.50  37.35    1    7  0.63945E+07  0.45675E+07 5303
