    25.40  37.15    3  0.22841E+05 8436
    24.10  38.05    3  0.27510E+05 8437
    24.10  38.05    2  0.27537E+05 8438
    23.50  37.55    2  0.27537E+05 8440
    24.80  40.75    2  0.28956E+05 8441
    20.70  38.95    3  0.25724E+05 8442
    21.40  37.55    3  0.26778E+05 8443
    24.10  38.05    3  0.21992E+05 8444
    24.50  35.45    5  0.26235E+05 8445
    28.20  36.45    3  0.26778E+05 8446
    26.10  35.25    2  0.27537E+05 8447
    23.50  39.15    2  0.27537E+05 8448
    22.80  40.55   16  0.26452E+05 8449
    22.80  37.55    2  0.27537E+05 8450
    23.00  39.25    8  0.26860E+05 8451
    20.90  37.85    4  0.28930E+05 8453
    35.00  32.95    7  0.24900E+05 8454
    34.60  31.85   10  0.25125E+05 8455
    34.70  32.05   10  0.26120E+05 8456
    34.80  32.45    2  0.30040E+05 8457
    34.30  31.45   10  0.25413E+05 8458
    34.80  32.35    4  0.27329E+05 8459
    34.90  32.55    6  0.26311E+05 8460
    34.70  32.15   29  0.25887E+05 8461
    34.80  32.45    8  0.27226E+05 8462
    34.80  32.25    7  0.25072E+05 8463
    35.00  32.95    9  0.25189E+05 8464
    34.80  32.25    8  0.26087E+05 8465
    34.50  31.65    5  0.26932E+05 8466
    34.80  32.25    6  0.27295E+05 8467
    34.80  32.25    5  0.23356E+05 8468
    34.40  31.55    3  0.24917E+05 8469
    34.70  31.95    4  0.26337E+05 8470
    15.20  37.55    2  0.30777E+05 8472
    15.20  37.65    5  0.24524E+05 8473
    13.70  37.15    5  0.26018E+05 8474
    14.90  40.35    3  0.22681E+05 8475
    8.20  43.95    2  0.21084E+05 8476
    14.00  42.85    2  0.22851E+05 8477
    8.30  44.05    3  0.25264E+05 8478
    8.50  44.25    2  0.20018E+05 8480
    8.30  40.55    4  0.26492E+05 8481
    13.60  38.05    1  0.28172E+05 8483
    16.00  39.15    2  0.25006E+05 8485
    13.50  43.65    7  0.23987E+05 8486
    12.60  41.45    5  0.24781E+05 8487
    8.70  44.35    2  0.21657E+05 8489
    9.50  41.15    2  0.23899E+05 8490
    9.10  39.15    3  0.27029E+05 8491
    15.30  37.25    4  0.23878E+05 8492
    15.20  36.95    4  0.22720E+05 8493
    14.10  40.75    3  0.27400E+05 8494
    13.60  38.05    5  0.25274E+05 8495
    15.80  38.35    2  0.20122E+05 8496
    15.10  38.15    4  0.26839E+05 8497
    16.90  41.15   10  0.25887E+05 8498
    16.30  41.35    6  0.26979E+05 8499
    12.50  44.15    2  0.31903E+05 8500
    15.80  39.65    1  0.36225E+05 8501
    13.10  45.55    2  0.22250E+05 8503
    16.50  41.25    5  0.24928E+05 8504
    7.70  43.75    2  0.20393E+05 8505
    8.40  40.25    1  0.31973E+05 8507
    16.20  38.15    1  0.34097E+05 8509
    18.00  40.65    6  0.26426E+05 8511
    8.40  39.85    1  0.35291E+05 8513
    9.10  39.15    8  0.24871E+05 8514
    15.70  41.95    1  0.30459E+05 8515
    9.70  40.25    1  0.33248E+05 8516
    13.70  43.55    1  0.28750E+05 8517
    17.60  40.25    1  0.28613E+05 8519
    12.90  45.55    2  0.22214E+05 8521
    13.20  38.25    2  0.19969E+05 8522
    14.70  38.15    2  0.23798E+05 8524
    14.30  40.55    1  0.29048E+05 8526
    17.00  39.55    1  0.33662E+05 8527
    17.80  40.75    2  0.28089E+05 8528
    13.90  40.75    1  0.32582E+05 8529
    13.90  41.05    3  0.24987E+05 8530
    13.60  38.05    2  0.20700E+05 8531
    14.90  40.25    1  0.31980E+05 8532
    12.90  38.05    2  0.26790E+05 8533
    10.90  42.75    1  0.29583E+05 8536
    15.10  38.15    1  0.28366E+05 8537
    15.10  37.45   10  0.25136E+05 8538
    16.70  38.85    6  0.26881E+05 8539
    12.70  44.05    2  0.28810E+05 8540
    10.50  43.25    3  0.28116E+05 8541
    14.00  38.05    2  0.24838E+05 8542
    12.40  44.25    3  0.27978E+05 8544
    12.40  44.25    3  0.26071E+05 8545
    15.90  39.45    2  0.19301E+05 8546
    9.30  44.25    3  0.27583E+05 8547
    12.40  45.25    5  0.23990E+05 8548
    13.00  38.15    2  0.21360E+05 8549
    17.20  39.35    2  0.26376E+05 8550
    13.70  43.35    4  0.26437E+05 8551
